Student{name='Иля', secondName='Второй', midleName='Герасимович', FIO='Иля Второй Герасимович', assessment=9.999121669888897}
Student{name='Болт', secondName='Девятый', midleName='Инокентьевич', FIO='Болт Девятый Инокентьевич', assessment=9.997734381045785}
Student{name='Иля', secondName='Четвертый', midleName='Герасимович', FIO='Иля Четвертый Герасимович', assessment=9.99745403406366}
Student{name='Иля', secondName='Седьмой', midleName='Герасимович', FIO='Иля Седьмой Герасимович', assessment=9.996315893782858}
Student{name='Полина', secondName='Девятый', midleName='Александрович', FIO='Полина Девятый Александрович', assessment=9.996291313405601}
Student{name='Болт', secondName='Пятый', midleName='Герасимович', FIO='Болт Пятый Герасимович', assessment=9.99387187245511}
Student{name='Ваня', secondName='Восьмой', midleName='Герасимович', FIO='Ваня Восьмой Герасимович', assessment=9.993644589622228}
Student{name='Вика', secondName='Шестой', midleName='Герасимович', FIO='Вика Шестой Герасимович', assessment=9.99290114921284}
Student{name='Вика', secondName='Третий', midleName='Никитич', FIO='Вика Третий Никитич', assessment=9.9925632306744}
Student{name='Иля', secondName='Девятый', midleName='Никитич', FIO='Иля Девятый Никитич', assessment=9.992495105631363}
Student{name='Смоук', secondName='Четвертый', midleName='Абрамович', FIO='Смоук Четвертый Абрамович', assessment=9.992440006201532}
Student{name='Болт', secondName='Первый', midleName='Ильич', FIO='Болт Первый Ильич', assessment=9.991885472217014}
Student{name='Болт', secondName='Второй', midleName='Инокентьевич', FIO='Болт Второй Инокентьевич', assessment=9.98952682627695}
Student{name='Кирилл', secondName='Второй', midleName='Абрамович', FIO='Кирилл Второй Абрамович', assessment=9.989247626497797}
Student{name='Полина', secondName='Четвертый', midleName='Викторович', FIO='Полина Четвертый Викторович', assessment=9.989245460204497}
Student{name='Алина', secondName='Восьмой', midleName='Ильич', FIO='Алина Восьмой Ильич', assessment=9.988972474183358}
Student{name='Болт', secondName='Третий', midleName='Ильич', FIO='Болт Третий Ильич', assessment=9.988607768915776}
Student{name='Смоук', secondName='Пятый', midleName='Викторович', FIO='Смоук Пятый Викторович', assessment=9.987890647406934}
Student{name='Буся', secondName='Пятый', midleName='Викторович', FIO='Буся Пятый Викторович', assessment=9.987175317546729}
Student{name='Кирилл', secondName='Второй', midleName='Никитич', FIO='Кирилл Второй Никитич', assessment=9.987041233043216}
Student{name='Аркадий', secondName='Восьмой', midleName='Александрович', FIO='Аркадий Восьмой Александрович', assessment=9.983221516516645}
Student{name='Болт', secondName='Восьмой', midleName='Александрович', FIO='Болт Восьмой Александрович', assessment=9.98228916293957}
Student{name='Вика', secondName='Шестой', midleName='Герасимович', FIO='Вика Шестой Герасимович', assessment=9.980274335176423}
Student{name='Аркадий', secondName='Седьмой', midleName='Абрамович', FIO='Аркадий Седьмой Абрамович', assessment=9.978530947644796}
Student{name='Буся', secondName='Пятый', midleName='Инокентьевич', FIO='Буся Пятый Инокентьевич', assessment=9.977140165649004}
Student{name='Кирилл', secondName='Четвертый', midleName='Cергеевич', FIO='Кирилл Четвертый Cергеевич', assessment=9.97712503605906}
Student{name='Смоук', secondName='Первый', midleName='Абрамович', FIO='Смоук Первый Абрамович', assessment=9.976933720485535}
Student{name='Алина', secondName='Пятый', midleName='Никитич', FIO='Алина Пятый Никитич', assessment=9.97634938478315}
Student{name='Кирилл', secondName='Первый', midleName='Cергеевич', FIO='Кирилл Первый Cергеевич', assessment=9.975057762741951}
Student{name='Аркадий', secondName='Шестой', midleName='Инокентьевич', FIO='Аркадий Шестой Инокентьевич', assessment=9.974510605994762}
Student{name='Буся', secondName='Первый', midleName='Cергеевич', FIO='Буся Первый Cергеевич', assessment=9.973383438894203}
Student{name='Аркадий', secondName='Восьмой', midleName='Викторович', FIO='Аркадий Восьмой Викторович', assessment=9.971316713086516}
Student{name='Вика', secondName='Второй', midleName='Ильич', FIO='Вика Второй Ильич', assessment=9.971228550667908}
Student{name='Буся', secondName='Четвертый', midleName='Ильич', FIO='Буся Четвертый Ильич', assessment=9.970888604614816}
Student{name='Ваня', secondName='Третий', midleName='Александрович', FIO='Ваня Третий Александрович', assessment=9.970390346389838}
Student{name='Смоук', secondName='Шестой', midleName='Викторович', FIO='Смоук Шестой Викторович', assessment=9.969464519422514}
Student{name='Иля', secondName='Пятый', midleName='Абрамович', FIO='Иля Пятый Абрамович', assessment=9.968796965944065}
Student{name='Болт', secondName='Второй', midleName='Cергеевич', FIO='Болт Второй Cергеевич', assessment=9.967773711981975}
Student{name='Алина', secondName='Четвертый', midleName='Ильич', FIO='Алина Четвертый Ильич', assessment=9.96535681162485}
Student{name='Вика', secondName='Второй', midleName='Инокентьевич', FIO='Вика Второй Инокентьевич', assessment=9.963949003575399}
Student{name='Алина', secondName='Шестой', midleName='Герасимович', FIO='Алина Шестой Герасимович', assessment=9.95974081222535}
Student{name='Кирилл', secondName='Второй', midleName='Абрамович', FIO='Кирилл Второй Абрамович', assessment=9.959246599387367}
Student{name='Ваня', secondName='Седьмой', midleName='Инокентьевич', FIO='Ваня Седьмой Инокентьевич', assessment=9.957811496113152}
Student{name='Иля', secondName='Четвертый', midleName='Cергеевич', FIO='Иля Четвертый Cергеевич', assessment=9.957543517336598}
Student{name='Ваня', secondName='Второй', midleName='Викторович', FIO='Ваня Второй Викторович', assessment=9.957334450459648}
Student{name='Буся', secondName='Третий', midleName='Александрович', FIO='Буся Третий Александрович', assessment=9.957219470244517}
Student{name='Кирилл', secondName='Третий', midleName='Абрамович', FIO='Кирилл Третий Абрамович', assessment=9.9570516357114}
Student{name='Болт', secondName='Третий', midleName='Викторович', FIO='Болт Третий Викторович', assessment=9.956700531538301}
Student{name='Ваня', secondName='Четвертый', midleName='Ильич', FIO='Ваня Четвертый Ильич', assessment=9.956686960756475}
Student{name='Вика', secondName='Второй', midleName='Герасимович', FIO='Вика Второй Герасимович', assessment=9.956167659913412}
Student{name='Вика', secondName='Девятый', midleName='Ильич', FIO='Вика Девятый Ильич', assessment=9.956107260538346}
Student{name='Болт', secondName='Второй', midleName='Cергеевич', FIO='Болт Второй Cергеевич', assessment=9.955099856742338}
Student{name='Болт', secondName='Пятый', midleName='Инокентьевич', FIO='Болт Пятый Инокентьевич', assessment=9.95348995600078}
Student{name='Болт', secondName='Четвертый', midleName='Викторович', FIO='Болт Четвертый Викторович', assessment=9.953285893509928}
Student{name='Болт', secondName='Восьмой', midleName='Александрович', FIO='Болт Восьмой Александрович', assessment=9.953224221976836}
Student{name='Болт', secondName='Второй', midleName='Инокентьевич', FIO='Болт Второй Инокентьевич', assessment=9.952351307683085}
Student{name='Алина', secondName='Восьмой', midleName='Герасимович', FIO='Алина Восьмой Герасимович', assessment=9.951668666065206}
Student{name='Вика', secondName='Четвертый', midleName='Инокентьевич', FIO='Вика Четвертый Инокентьевич', assessment=9.950446097637762}
Student{name='Вика', secondName='Четвертый', midleName='Cергеевич', FIO='Вика Четвертый Cергеевич', assessment=9.947359609081769}
Student{name='Аркадий', secondName='Третий', midleName='Инокентьевич', FIO='Аркадий Третий Инокентьевич', assessment=9.946981575884342}
Student{name='Вика', secondName='Восьмой', midleName='Абрамович', FIO='Вика Восьмой Абрамович', assessment=9.946677176900643}
Student{name='Иля', secondName='Четвертый', midleName='Cергеевич', FIO='Иля Четвертый Cергеевич', assessment=9.945494641014822}
Student{name='Буся', secondName='Второй', midleName='Абрамович', FIO='Буся Второй Абрамович', assessment=9.944346903512256}
Student{name='Болт', secondName='Четвертый', midleName='Никитич', FIO='Болт Четвертый Никитич', assessment=9.943086076737895}
Student{name='Буся', secondName='Пятый', midleName='Cергеевич', FIO='Буся Пятый Cергеевич', assessment=9.942807702912779}
Student{name='Полина', secondName='Первый', midleName='Викторович', FIO='Полина Первый Викторович', assessment=9.94231310588161}
Student{name='Вика', secondName='Третий', midleName='Ильич', FIO='Вика Третий Ильич', assessment=9.940979149841587}
Student{name='Иля', secondName='Четвертый', midleName='Инокентьевич', FIO='Иля Четвертый Инокентьевич', assessment=9.939910167236842}
Student{name='Ваня', secondName='Девятый', midleName='Инокентьевич', FIO='Ваня Девятый Инокентьевич', assessment=9.939906245493281}
Student{name='Буся', secondName='Первый', midleName='Cергеевич', FIO='Буся Первый Cергеевич', assessment=9.939899691798459}
Student{name='Кирилл', secondName='Восьмой', midleName='Никитич', FIO='Кирилл Восьмой Никитич', assessment=9.93845625256332}
Student{name='Смоук', secondName='Второй', midleName='Викторович', FIO='Смоук Второй Викторович', assessment=9.936784686720056}
Student{name='Аркадий', secondName='Девятый', midleName='Никитич', FIO='Аркадий Девятый Никитич', assessment=9.936630924289522}
Student{name='Полина', secondName='Шестой', midleName='Александрович', FIO='Полина Шестой Александрович', assessment=9.935801630324999}
Student{name='Кирилл', secondName='Четвертый', midleName='Никитич', FIO='Кирилл Четвертый Никитич', assessment=9.933422353264078}
Student{name='Ваня', secondName='Шестой', midleName='Cергеевич', FIO='Ваня Шестой Cергеевич', assessment=9.93316011739624}
Student{name='Ваня', secondName='Четвертый', midleName='Абрамович', FIO='Ваня Четвертый Абрамович', assessment=9.933001507708315}
Student{name='Кирилл', secondName='Седьмой', midleName='Cергеевич', FIO='Кирилл Седьмой Cергеевич', assessment=9.932911247158113}
Student{name='Аркадий', secondName='Третий', midleName='Викторович', FIO='Аркадий Третий Викторович', assessment=9.932570172597385}
Student{name='Болт', secondName='Пятый', midleName='Викторович', FIO='Болт Пятый Викторович', assessment=9.931725872438097}
Student{name='Буся', secondName='Первый', midleName='Герасимович', FIO='Буся Первый Герасимович', assessment=9.929832222133143}
Student{name='Кирилл', secondName='Седьмой', midleName='Инокентьевич', FIO='Кирилл Седьмой Инокентьевич', assessment=9.929488307597916}
Student{name='Ваня', secondName='Второй', midleName='Герасимович', FIO='Ваня Второй Герасимович', assessment=9.929125545471493}
Student{name='Иля', secondName='Восьмой', midleName='Инокентьевич', FIO='Иля Восьмой Инокентьевич', assessment=9.927234528485245}
Student{name='Полина', secondName='Восьмой', midleName='Викторович', FIO='Полина Восьмой Викторович', assessment=9.926816250782638}
Student{name='Вика', secondName='Третий', midleName='Cергеевич', FIO='Вика Третий Cергеевич', assessment=9.926475621481714}
Student{name='Ваня', secondName='Первый', midleName='Никитич', FIO='Ваня Первый Никитич', assessment=9.926424421424555}
Student{name='Вика', secondName='Третий', midleName='Александрович', FIO='Вика Третий Александрович', assessment=9.926189225076515}
Student{name='Буся', secondName='Третий', midleName='Инокентьевич', FIO='Буся Третий Инокентьевич', assessment=9.924183079200617}
Student{name='Болт', secondName='Седьмой', midleName='Ильич', FIO='Болт Седьмой Ильич', assessment=9.923783825837196}
Student{name='Смоук', secondName='Пятый', midleName='Cергеевич', FIO='Смоук Пятый Cергеевич', assessment=9.923058699230523}
Student{name='Смоук', secondName='Второй', midleName='Ильич', FIO='Смоук Второй Ильич', assessment=9.922766709795187}
